Instance,Scenario,Algorithm,MeanMakespan
ft06,Static,GAKK,56.1
ft06,Static,GASPT,55.5
ft06,Static,GALPT,55.9
ft06,Static,GASRPT,55.3
ft06,Static,GALRPT,55.4
ft06,Static,GAMIX,55
ft06,Static,GA,55.6
ft06,Static,GAMIX_no_GALPT,55.7
ft06,Static,GAMIX_no_GASRPT,55
ft06,Static,GAMIX_no_GAKK,55.5
ft06,Static,GAMIX_no_GASPT,55.2
ft06,Static,GAMIX_no_GALRPT,55.2
ft06,Static,GAMIX_no_LPT_SRPT,55.2
ft06,NewJob,GAKK,57.7
ft06,NewJob,GASPT,57.3
ft06,NewJob,GALPT,57.2
ft06,NewJob,GASRPT,56.8
ft06,NewJob,GALRPT,57.1
ft06,NewJob,GAMIX,57.5
ft06,NewJob,GA,56.9
ft06,NewJob,GAMIX_no_GALPT,57.6
ft06,NewJob,GAMIX_no_GASRPT,57.1
ft06,NewJob,GAMIX_no_GAKK,57.6
ft06,NewJob,GAMIX_no_GASPT,57.5
ft06,NewJob,GAMIX_no_GALRPT,58
ft06,NewJob,GAMIX_no_LPT_SRPT,56.9
ft06,Breakdown,GAKK,56.1
ft06,Breakdown,GASPT,56.6
ft06,Breakdown,GALPT,56.6
ft06,Breakdown,GASRPT,57.3
ft06,Breakdown,GALRPT,56.8
ft06,Breakdown,GAMIX,57.4
ft06,Breakdown,GA,57.6
ft06,Breakdown,GAMIX_no_GALPT,57.2
ft06,Breakdown,GAMIX_no_GASRPT,57.3
ft06,Breakdown,GAMIX_no_GAKK,56.9
ft06,Breakdown,GAMIX_no_GASPT,57.2
ft06,Breakdown,GAMIX_no_GALRPT,56.3
ft06,Breakdown,GAMIX_no_LPT_SRPT,56.6
ft06,TimeNoise,GAKK,56.1
ft06,TimeNoise,GASPT,57.1
ft06,TimeNoise,GALPT,56.8
ft06,TimeNoise,GASRPT,57.5
ft06,TimeNoise,GALRPT,56.9
ft06,TimeNoise,GAMIX,56.8
ft06,TimeNoise,GA,57.3
ft06,TimeNoise,GAMIX_no_GALPT,57.7
ft06,TimeNoise,GAMIX_no_GASRPT,57.4
ft06,TimeNoise,GAMIX_no_GAKK,57.2
ft06,TimeNoise,GAMIX_no_GASPT,57.2
ft06,TimeNoise,GAMIX_no_GALRPT,56.6
ft06,TimeNoise,GAMIX_no_LPT_SRPT,57
ft06,Mixed,GAKK,57.6
ft06,Mixed,GASPT,57.4
ft06,Mixed,GALPT,57.6
ft06,Mixed,GASRPT,57.5
ft06,Mixed,GALRPT,58.1
ft06,Mixed,GAMIX,56.4
ft06,Mixed,GA,57.2
ft06,Mixed,GAMIX_no_GALPT,57.2
ft06,Mixed,GAMIX_no_GASRPT,58.1
ft06,Mixed,GAMIX_no_GAKK,56.3
ft06,Mixed,GAMIX_no_GASPT,57.2
ft06,Mixed,GAMIX_no_GALRPT,57.5
ft06,Mixed,GAMIX_no_LPT_SRPT,58
ft10,Static,GAKK,1007.5
ft10,Static,GASPT,1009.1
ft10,Static,GALPT,1005.7
ft10,Static,GASRPT,1005.5
ft10,Static,GALRPT,1005.5
ft10,Static,GAMIX,1018.8
ft10,Static,GA,1004.4
ft10,Static,GAMIX_no_GALPT,1008.8
ft10,Static,GAMIX_no_GASRPT,1002.6
ft10,Static,GAMIX_no_GAKK,1009.7
ft10,Static,GAMIX_no_GASPT,1014.6
ft10,Static,GAMIX_no_GALRPT,1003.9
ft10,Static,GAMIX_no_LPT_SRPT,1015.6
ft10,NewJob,GAKK,1070.3
ft10,NewJob,GASPT,1054
ft10,NewJob,GALPT,1055.4
ft10,NewJob,GASRPT,1062.2
ft10,NewJob,GALRPT,1047.9
ft10,NewJob,GAMIX,1056.5
ft10,NewJob,GA,1050.4
ft10,NewJob,GAMIX_no_GALPT,1039.9
ft10,NewJob,GAMIX_no_GASRPT,1053.3
ft10,NewJob,GAMIX_no_GAKK,1071.7
ft10,NewJob,GAMIX_no_GASPT,1066.2
ft10,NewJob,GAMIX_no_GALRPT,1038.9
ft10,NewJob,GAMIX_no_LPT_SRPT,1039.1
ft10,Breakdown,GAKK,1049.6
ft10,Breakdown,GASPT,1044.1
ft10,Breakdown,GALPT,1062
ft10,Breakdown,GASRPT,1063.5
ft10,Breakdown,GALRPT,1045.5
ft10,Breakdown,GAMIX,1035
ft10,Breakdown,GA,1046.6
ft10,Breakdown,GAMIX_no_GALPT,1073.1
ft10,Breakdown,GAMIX_no_GASRPT,1063.9
ft10,Breakdown,GAMIX_no_GAKK,1043.7
ft10,Breakdown,GAMIX_no_GASPT,1079.7
ft10,Breakdown,GAMIX_no_GALRPT,1041.7
ft10,Breakdown,GAMIX_no_LPT_SRPT,1045
ft10,TimeNoise,GAKK,1057.6
ft10,TimeNoise,GASPT,1055.9
ft10,TimeNoise,GALPT,1064.6
ft10,TimeNoise,GASRPT,1048.7
ft10,TimeNoise,GALRPT,1052.1
ft10,TimeNoise,GAMIX,1038.1
ft10,TimeNoise,GA,1058.5
ft10,TimeNoise,GAMIX_no_GALPT,1062
ft10,TimeNoise,GAMIX_no_GASRPT,1040.2
ft10,TimeNoise,GAMIX_no_GAKK,1049.2
ft10,TimeNoise,GAMIX_no_GASPT,1067.4
ft10,TimeNoise,GAMIX_no_GALRPT,1055.9
ft10,TimeNoise,GAMIX_no_LPT_SRPT,1077.6
ft10,Mixed,GAKK,1051.7
ft10,Mixed,GASPT,1029.4
ft10,Mixed,GALPT,1059.9
ft10,Mixed,GASRPT,1072
ft10,Mixed,GALRPT,1026.6
ft10,Mixed,GAMIX,1055.1
ft10,Mixed,GA,1053.2
ft10,Mixed,GAMIX_no_GALPT,1051.2
ft10,Mixed,GAMIX_no_GASRPT,1067
ft10,Mixed,GAMIX_no_GAKK,1088.7
ft10,Mixed,GAMIX_no_GASPT,1055.7
ft10,Mixed,GAMIX_no_GALRPT,1043.7
ft10,Mixed,GAMIX_no_LPT_SRPT,1037.7
ft20,Static,GAKK,1243.1
ft20,Static,GASPT,1250.3
ft20,Static,GALPT,1267.4
ft20,Static,GASRPT,1238.5
ft20,Static,GALRPT,1228.4
ft20,Static,GAMIX,1238
ft20,Static,GA,1238.3
ft20,Static,GAMIX_no_GALPT,1255.5
ft20,Static,GAMIX_no_GASRPT,1247
ft20,Static,GAMIX_no_GAKK,1237.2
ft20,Static,GAMIX_no_GASPT,1237.4
ft20,Static,GAMIX_no_GALRPT,1248.4
ft20,Static,GAMIX_no_LPT_SRPT,1238.9
ft20,NewJob,GAKK,1330.4
ft20,NewJob,GASPT,1303.8
ft20,NewJob,GALPT,1319.1
ft20,NewJob,GASRPT,1332.5
ft20,NewJob,GALRPT,1306.2
ft20,NewJob,GAMIX,1297.2
ft20,NewJob,GA,1328.9
ft20,NewJob,GAMIX_no_GALPT,1315.5
ft20,NewJob,GAMIX_no_GASRPT,1315
ft20,NewJob,GAMIX_no_GAKK,1321.4
ft20,NewJob,GAMIX_no_GASPT,1337.4
ft20,NewJob,GAMIX_no_GALRPT,1328.6
ft20,NewJob,GAMIX_no_LPT_SRPT,1312.6
ft20,Breakdown,GAKK,1320.8
ft20,Breakdown,GASPT,1333
ft20,Breakdown,GALPT,1330.9
ft20,Breakdown,GASRPT,1300.6
ft20,Breakdown,GALRPT,1317.8
ft20,Breakdown,GAMIX,1316.1
ft20,Breakdown,GA,1320.7
ft20,Breakdown,GAMIX_no_GALPT,1317.9
ft20,Breakdown,GAMIX_no_GASRPT,1335.1
ft20,Breakdown,GAMIX_no_GAKK,1335.2
ft20,Breakdown,GAMIX_no_GASPT,1342.3
ft20,Breakdown,GAMIX_no_GALRPT,1305.8
ft20,Breakdown,GAMIX_no_LPT_SRPT,1313.9
ft20,TimeNoise,GAKK,1335.9
ft20,TimeNoise,GASPT,1302.5
ft20,TimeNoise,GALPT,1331
ft20,TimeNoise,GASRPT,1327.2
ft20,TimeNoise,GALRPT,1301.8
ft20,TimeNoise,GAMIX,1319.9
ft20,TimeNoise,GA,1325.9
ft20,TimeNoise,GAMIX_no_GALPT,1335.3
ft20,TimeNoise,GAMIX_no_GASRPT,1330.4
ft20,TimeNoise,GAMIX_no_GAKK,1315.2
ft20,TimeNoise,GAMIX_no_GASPT,1321.5
ft20,TimeNoise,GAMIX_no_GALRPT,1334.6
ft20,TimeNoise,GAMIX_no_LPT_SRPT,1309
ft20,Mixed,GAKK,1322
ft20,Mixed,GASPT,1329.8
ft20,Mixed,GALPT,1331.1
ft20,Mixed,GASRPT,1311.8
ft20,Mixed,GALRPT,1324.4
ft20,Mixed,GAMIX,1334.1
ft20,Mixed,GA,1329.1
ft20,Mixed,GAMIX_no_GALPT,1310.6
ft20,Mixed,GAMIX_no_GASRPT,1316.5
ft20,Mixed,GAMIX_no_GAKK,1317
ft20,Mixed,GAMIX_no_GASPT,1314.1
ft20,Mixed,GAMIX_no_GALRPT,1307.3
ft20,Mixed,GAMIX_no_LPT_SRPT,1331.6
la01,Static,GAKK,666
la01,Static,GASPT,666.2
la01,Static,GALPT,666
la01,Static,GASRPT,666
la01,Static,GALRPT,666
la01,Static,GAMIX,666
la01,Static,GA,666
la01,Static,GAMIX_no_GALPT,666
la01,Static,GAMIX_no_GASRPT,666
la01,Static,GAMIX_no_GAKK,666
la01,Static,GAMIX_no_GASPT,666
la01,Static,GAMIX_no_GALRPT,666
la01,Static,GAMIX_no_LPT_SRPT,666
la01,NewJob,GAKK,671
la01,NewJob,GASPT,671.1
la01,NewJob,GALPT,669.5
la01,NewJob,GASRPT,674.6
la01,NewJob,GALRPT,672.4
la01,NewJob,GAMIX,670.9
la01,NewJob,GA,672.4
la01,NewJob,GAMIX_no_GALPT,682.6
la01,NewJob,GAMIX_no_GASRPT,673.7
la01,NewJob,GAMIX_no_GAKK,668.9
la01,NewJob,GAMIX_no_GASPT,677.2
la01,NewJob,GAMIX_no_GALRPT,676
la01,NewJob,GAMIX_no_LPT_SRPT,671
la01,Breakdown,GAKK,673.5
la01,Breakdown,GASPT,669.5
la01,Breakdown,GALPT,678.1
la01,Breakdown,GASRPT,675.5
la01,Breakdown,GALRPT,678.6
la01,Breakdown,GAMIX,667.2
la01,Breakdown,GA,667.2
la01,Breakdown,GAMIX_no_GALPT,677.2
la01,Breakdown,GAMIX_no_GASRPT,671.9
la01,Breakdown,GAMIX_no_GAKK,674.7
la01,Breakdown,GAMIX_no_GASPT,669.1
la01,Breakdown,GAMIX_no_GALRPT,674.4
la01,Breakdown,GAMIX_no_LPT_SRPT,674.1
la01,TimeNoise,GAKK,677.4
la01,TimeNoise,GASPT,674.2
la01,TimeNoise,GALPT,671.8
la01,TimeNoise,GASRPT,668
la01,TimeNoise,GALRPT,672.6
la01,TimeNoise,GAMIX,670.7
la01,TimeNoise,GA,674.4
la01,TimeNoise,GAMIX_no_GALPT,680.5
la01,TimeNoise,GAMIX_no_GASRPT,668.5
la01,TimeNoise,GAMIX_no_GAKK,668.1
la01,TimeNoise,GAMIX_no_GASPT,671.2
la01,TimeNoise,GAMIX_no_GALRPT,669.4
la01,TimeNoise,GAMIX_no_LPT_SRPT,674.1
la01,Mixed,GAKK,671
la01,Mixed,GASPT,677.9
la01,Mixed,GALPT,677.6
la01,Mixed,GASRPT,680.1
la01,Mixed,GALRPT,670.3
la01,Mixed,GAMIX,672.7
la01,Mixed,GA,671.5
la01,Mixed,GAMIX_no_GALPT,673
la01,Mixed,GAMIX_no_GASRPT,671.9
la01,Mixed,GAMIX_no_GAKK,666.8
la01,Mixed,GAMIX_no_GASPT,667.6
la01,Mixed,GAMIX_no_GALRPT,678.5
la01,Mixed,GAMIX_no_LPT_SRPT,674.7
la10,Static,GAKK,958
la10,Static,GASPT,958
la10,Static,GALPT,958
la10,Static,GASRPT,958
la10,Static,GALRPT,958
la10,Static,GAMIX,958
la10,Static,GA,958
la10,Static,GAMIX_no_GALPT,958
la10,Static,GAMIX_no_GASRPT,958
la10,Static,GAMIX_no_GAKK,958
la10,Static,GAMIX_no_GASPT,958
la10,Static,GAMIX_no_GALRPT,958
la10,Static,GAMIX_no_LPT_SRPT,958
la10,NewJob,GAKK,962
la10,NewJob,GASPT,962
la10,NewJob,GALPT,962
la10,NewJob,GASRPT,962
la10,NewJob,GALRPT,962
la10,NewJob,GAMIX,962
la10,NewJob,GA,962
la10,NewJob,GAMIX_no_GALPT,962
la10,NewJob,GAMIX_no_GASRPT,962
la10,NewJob,GAMIX_no_GAKK,962
la10,NewJob,GAMIX_no_GASPT,962
la10,NewJob,GAMIX_no_GALRPT,962
la10,NewJob,GAMIX_no_LPT_SRPT,962
la10,Breakdown,GAKK,958
la10,Breakdown,GASPT,958
la10,Breakdown,GALPT,958
la10,Breakdown,GASRPT,958
la10,Breakdown,GALRPT,958
la10,Breakdown,GAMIX,958
la10,Breakdown,GA,958
la10,Breakdown,GAMIX_no_GALPT,958
la10,Breakdown,GAMIX_no_GASRPT,958
la10,Breakdown,GAMIX_no_GAKK,958
la10,Breakdown,GAMIX_no_GASPT,958
la10,Breakdown,GAMIX_no_GALRPT,958
la10,Breakdown,GAMIX_no_LPT_SRPT,958
la10,TimeNoise,GAKK,958
la10,TimeNoise,GASPT,958
la10,TimeNoise,GALPT,958
la10,TimeNoise,GASRPT,958
la10,TimeNoise,GALRPT,958
la10,TimeNoise,GAMIX,958
la10,TimeNoise,GA,958
la10,TimeNoise,GAMIX_no_GALPT,958
la10,TimeNoise,GAMIX_no_GASRPT,958
la10,TimeNoise,GAMIX_no_GAKK,958
la10,TimeNoise,GAMIX_no_GASPT,958
la10,TimeNoise,GAMIX_no_GALRPT,958
la10,TimeNoise,GAMIX_no_LPT_SRPT,958
la10,Mixed,GAKK,962
la10,Mixed,GASPT,962
la10,Mixed,GALPT,962
la10,Mixed,GASRPT,962
la10,Mixed,GALRPT,962
la10,Mixed,GAMIX,962
la10,Mixed,GA,962
la10,Mixed,GAMIX_no_GALPT,962
la10,Mixed,GAMIX_no_GASRPT,962
la10,Mixed,GAMIX_no_GAKK,962
la10,Mixed,GAMIX_no_GASPT,962
la10,Mixed,GAMIX_no_GALRPT,962
la10,Mixed,GAMIX_no_LPT_SRPT,962
la20,Static,GAKK,941.3
la20,Static,GASPT,925.2
la20,Static,GALPT,948.4
la20,Static,GASRPT,930.4
la20,Static,GALRPT,932.2
la20,Static,GAMIX,938.3
la20,Static,GA,939.2
la20,Static,GAMIX_no_GALPT,927.8
la20,Static,GAMIX_no_GASRPT,942
la20,Static,GAMIX_no_GAKK,934.7
la20,Static,GAMIX_no_GASPT,941.3
la20,Static,GAMIX_no_GALRPT,932.6
la20,Static,GAMIX_no_LPT_SRPT,929.8
la20,NewJob,GAKK,971
la20,NewJob,GASPT,980.5
la20,NewJob,GALPT,984.3
la20,NewJob,GASRPT,982.1
la20,NewJob,GALRPT,965.7
la20,NewJob,GAMIX,970
la20,NewJob,GA,982.1
la20,NewJob,GAMIX_no_GALPT,967.4
la20,NewJob,GAMIX_no_GASRPT,968.2
la20,NewJob,GAMIX_no_GAKK,972.6
la20,NewJob,GAMIX_no_GASPT,983.2
la20,NewJob,GAMIX_no_GALRPT,958.6
la20,NewJob,GAMIX_no_LPT_SRPT,967.8
la20,Breakdown,GAKK,979.6
la20,Breakdown,GASPT,962.3
la20,Breakdown,GALPT,992.9
la20,Breakdown,GASRPT,1004.4
la20,Breakdown,GALRPT,960.3
la20,Breakdown,GAMIX,967.3
la20,Breakdown,GA,972.3
la20,Breakdown,GAMIX_no_GALPT,986.3
la20,Breakdown,GAMIX_no_GASRPT,980.7
la20,Breakdown,GAMIX_no_GAKK,971.6
la20,Breakdown,GAMIX_no_GASPT,978.9
la20,Breakdown,GAMIX_no_GALRPT,970.4
la20,Breakdown,GAMIX_no_LPT_SRPT,966.5
la20,TimeNoise,GAKK,960.3
la20,TimeNoise,GASPT,988.6
la20,TimeNoise,GALPT,971.6
la20,TimeNoise,GASRPT,976.4
la20,TimeNoise,GALRPT,980
la20,TimeNoise,GAMIX,976.4
la20,TimeNoise,GA,962.2
la20,TimeNoise,GAMIX_no_GALPT,954.1
la20,TimeNoise,GAMIX_no_GASRPT,979.3
la20,TimeNoise,GAMIX_no_GAKK,980.1
la20,TimeNoise,GAMIX_no_GASPT,955.4
la20,TimeNoise,GAMIX_no_GALRPT,969.6
la20,TimeNoise,GAMIX_no_LPT_SRPT,990.4
la20,Mixed,GAKK,986.4
la20,Mixed,GASPT,966.7
la20,Mixed,GALPT,976.3
la20,Mixed,GASRPT,981
la20,Mixed,GALRPT,969.4
la20,Mixed,GAMIX,971
la20,Mixed,GA,967.6
la20,Mixed,GAMIX_no_GALPT,967.3
la20,Mixed,GAMIX_no_GASRPT,980
la20,Mixed,GAMIX_no_GAKK,971.1
la20,Mixed,GAMIX_no_GASPT,985.3
la20,Mixed,GAMIX_no_GALRPT,972.6
la20,Mixed,GAMIX_no_LPT_SRPT,985
la30,Static,GAKK,1445.1
la30,Static,GASPT,1448.4
la30,Static,GALPT,1432.6
la30,Static,GASRPT,1428.6
la30,Static,GALRPT,1428
la30,Static,GAMIX,1451
la30,Static,GA,1453.8
la30,Static,GAMIX_no_GALPT,1433.9
la30,Static,GAMIX_no_GASRPT,1425.5
la30,Static,GAMIX_no_GAKK,1432.2
la30,Static,GAMIX_no_GASPT,1439.4
la30,Static,GAMIX_no_GALRPT,1446.3
la30,Static,GAMIX_no_LPT_SRPT,1433.7
la30,NewJob,GAKK,1529.5
la30,NewJob,GASPT,1548.5
la30,NewJob,GALPT,1510.6
la30,NewJob,GASRPT,1519.2
la30,NewJob,GALRPT,1528.4
la30,NewJob,GAMIX,1542.9
la30,NewJob,GA,1523.5
la30,NewJob,GAMIX_no_GALPT,1545.8
la30,NewJob,GAMIX_no_GASRPT,1537.9
la30,NewJob,GAMIX_no_GAKK,1541
la30,NewJob,GAMIX_no_GASPT,1544.5
la30,NewJob,GAMIX_no_GALRPT,1534.8
la30,NewJob,GAMIX_no_LPT_SRPT,1528.2
la30,Breakdown,GAKK,1511.7
la30,Breakdown,GASPT,1545.4
la30,Breakdown,GALPT,1527.6
la30,Breakdown,GASRPT,1505.3
la30,Breakdown,GALRPT,1526.7
la30,Breakdown,GAMIX,1543.3
la30,Breakdown,GA,1520.4
la30,Breakdown,GAMIX_no_GALPT,1539.8
la30,Breakdown,GAMIX_no_GASRPT,1539.9
la30,Breakdown,GAMIX_no_GAKK,1524.7
la30,Breakdown,GAMIX_no_GASPT,1543.5
la30,Breakdown,GAMIX_no_GALRPT,1524.4
la30,Breakdown,GAMIX_no_LPT_SRPT,1537.3
la30,TimeNoise,GAKK,1519.9
la30,TimeNoise,GASPT,1537.3
la30,TimeNoise,GALPT,1542.6
la30,TimeNoise,GASRPT,1544.7
la30,TimeNoise,GALRPT,1547
la30,TimeNoise,GAMIX,1525.9
la30,TimeNoise,GA,1513
la30,TimeNoise,GAMIX_no_GALPT,1542.5
la30,TimeNoise,GAMIX_no_GASRPT,1532.8
la30,TimeNoise,GAMIX_no_GAKK,1529
la30,TimeNoise,GAMIX_no_GASPT,1526.9
la30,TimeNoise,GAMIX_no_GALRPT,1543.7
la30,TimeNoise,GAMIX_no_LPT_SRPT,1544.7
la30,Mixed,GAKK,1518.1
la30,Mixed,GASPT,1544.4
la30,Mixed,GALPT,1542.4
la30,Mixed,GASRPT,1532.2
la30,Mixed,GALRPT,1538.2
la30,Mixed,GAMIX,1534.7
la30,Mixed,GA,1542.3
la30,Mixed,GAMIX_no_GALPT,1525.1
la30,Mixed,GAMIX_no_GASRPT,1539.5
la30,Mixed,GAMIX_no_GAKK,1539
la30,Mixed,GAMIX_no_GASPT,1542.1
la30,Mixed,GAMIX_no_GALRPT,1534.2
la30,Mixed,GAMIX_no_LPT_SRPT,1536.1
